concurso,data_sorteio,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,arrecadacao_total,ganhadores_15_numeros,ganhadores_14_numeros,ganhadores_13_numeros,ganhadores_12_numeros,ganhadores_11_numeros,valor_rateio_15_numeros,valor_rateio_14_numeros,valor_rateio_13_numeros,valor_rateio_12_numeros,valor_rateio_11_numeros,acumulado_15_numeros,estimativa_premio,valor_acumulado_especial
39,21/06/2004,14,15,7,19,8,9,22,17,23,18,2,11,24,13,21,0,3,915,31607,352332,1626512,"888003,6",516,10,4,2,0,0,0
40,28/06/2004,10,17,16,12,14,24,8,7,5,20,21,1,13,2,22,0,9,650,20792,266561,1331593,"129462,67","765,33",10,4,2,0,0,0
41,05/07/2004,25,4,23,18,17,19,15,13,9,3,12,20,21,16,2,0,5,431,16555,218669,1304019,"285091,61","1417,43",10,4,2,0,0,0
42,12/07/2004,1,24,12,25,4,3,21,8,11,6,15,22,14,17,5,0,1,351,14288,205537,1065540,"1731431,15","2114,08",10,4,2,0,0,0
43,19/07/2004,23,22,3,17,1,24,14,19,8,6,9,18,20,7,10,0,2,448,31225,257520,1394077,"550553,79","1053,36",10,4,2,0,0,0
44,26/07/2004,23,21,12,19,5,4,6,13,14,10,3,18,24,11,25,0,0,334,12675,172526,1140441,0,"2056,93",10,4,2,"1603036,94",0,0
45,02/08/2004,1,23,14,16,2,19,18,7,21,9,24,25,17,5,3,0,4,602,23232,353114,1591989,"731525,88","941,91",10,4,2,0,0,0
46,09/08/2004,6,14,8,11,24,18,19,23,2,5,4,21,10,1,25,0,4,825,24898,340899,1460500,"308549,13","638,71",10,4,2,0,0,0
47,16/08/2004,6,8,25,18,20,5,11,10,15,13,4,22,3,2,1,0,16,933,25668,259783,1267303,"94685,43","693,26",10,4,2,0,0,0
48,23/08/2004,15,6,21,20,2,17,5,23,11,7,13,16,18,19,22,0,2,331,13606,193466,1299636,"777343,31","2012,97",10,4,2,0,0,0
49,30/08/2004,11,2,24,8,20,16,4,13,19,6,15,22,5,23,21,0,0,673,22438,282506,1269761,0,806,10,4,2,"1265682,65",0,0
50,06/09/2004,2,3,7,25,21,23,10,1,13,11,20,6,12,19,9,0,1,659,21583,298054,1545777,"2776089,01","982,27",10,4,2,0,0,0
51,13/09/2004,8,1,13,14,5,22,21,7,6,23,3,17,20,11,16,0,2,765,22722,302341,1520867,"545229,3","608,58",10,4,2,0,0,0
52,20/09/2004,25,4,16,2,15,21,12,9,11,8,24,23,1,13,22,0,3,420,24265,205595,1156747,"532065,25","1628,77",10,4,2,0,0,0
53,27/09/2004,23,3,7,17,20,14,12,2,18,24,6,1,11,9,19,0,4,564,19767,262234,1425498,"269887,95","820,33",10,4,2,0,0,0
